trial,attend_cat,attend_exemp,context,ignore_cat,ignore_exemp,isi_tr,iti_tr,match,psi_tr
0,1,1,0,0,1,3,2,1,1
1,0,0,0,1,1,2,2,0,3
2,0,1,1,0,0,2,3,0,3
3,0,0,0,0,0,3,3,0,3
4,1,2,0,0,0,3,3,0,3
5,1,2,1,1,1,3,3,1,2
6,1,1,0,1,0,1,1,0,2
7,0,2,1,0,1,3,2,0,2
8,0,2,0,1,2,1,1,1,1
9,1,1,1,0,0,3,1,1,3
10,0,1,0,0,1,2,1,1,2
11,0,2,0,0,2,3,3,0,2
12,0,0,1,1,0,1,3,1,3
13,1,2,1,0,2,2,3,0,1
14,1,0,1,1,0,1,2,1,2
15,1,0,1,0,1,1,1,0,3
16,0,0,1,1,1,3,2,1,2
17,1,0,0,1,2,2,2,1,3
18,0,1,1,0,2,1,1,1,1
19,0,2,1,1,2,2,1,0,1
20,1,0,0,0,2,2,1,1,2
21,1,2,0,1,1,1,3,0,1
22,1,1,1,1,2,2,2,0,1
23,0,1,0,1,0,1,2,1,1
