trial,attend_cat,attend_exemp,context,ignore_cat,ignore_exemp,isi_tr,iti_tr,match,psi_tr
0,1,0,1,1,2,2,2,0,1
1,0,1,0,1,2,1,2,0,1
2,0,2,0,0,0,3,3,1,2
3,1,1,0,0,1,3,1,0,2
4,0,1,1,1,2,2,1,0,1
5,0,0,0,1,1,2,1,0,3
6,0,0,1,0,2,2,3,1,3
7,0,0,0,1,0,3,2,0,1
8,1,1,1,1,0,1,3,1,2
9,1,0,0,0,2,1,1,0,3
10,1,2,0,1,2,2,2,1,1
11,1,2,1,1,1,1,2,0,3
12,1,2,1,0,0,3,3,1,3
13,0,1,0,0,1,1,1,1,3
14,0,2,1,1,0,1,2,0,2
15,1,0,1,0,2,3,1,0,2
16,0,2,1,1,1,3,3,1,2
17,1,0,0,0,0,2,2,1,1
18,1,2,0,1,1,1,3,0,3
19,0,2,0,0,2,2,3,1,2
20,1,1,1,0,1,2,1,1,1
21,0,1,1,0,1,3,2,1,1
22,0,0,1,0,0,1,1,0,3
23,1,1,0,1,0,3,3,1,2
