trial,attend_cat,attend_exemp,context,ignore_cat,ignore_exemp,isi_tr,iti_tr,match,psi_tr
0,1,2,0,1,2,1,1,0,3
1,0,1,0,1,1,3,2,0,1
2,1,1,0,0,2,2,3,1,2
3,1,0,0,0,1,2,3,0,2
4,1,0,1,1,0,2,2,1,1
5,1,1,0,1,1,3,2,1,3
6,1,0,0,1,0,1,1,0,1
7,0,2,1,1,1,3,1,0,3
8,0,2,0,0,2,1,1,1,3
9,0,0,1,0,0,2,3,1,1
10,1,2,1,1,1,1,3,1,2
11,0,1,1,0,2,1,2,0,3
12,0,2,1,1,0,3,1,0,2
13,1,2,0,0,0,3,2,1,1
14,0,2,0,1,0,2,3,1,2
15,0,0,0,0,1,2,1,0,1
16,0,1,0,0,0,1,2,1,3
17,1,1,1,0,1,3,1,1,2
18,1,1,1,0,2,3,3,0,3
19,1,0,1,0,0,2,1,0,3
20,0,1,1,0,1,2,2,1,1
21,1,2,1,1,2,1,2,0,1
22,0,0,0,1,2,3,3,0,2
23,0,0,1,1,2,1,3,1,2
